iter	Passed	Remaining
0	0	911
1	1	794
2	2	757
3	2	728
4	3	713
5	4	703
6	4	691
7	5	707
8	6	702
9	7	697
10	7	707
11	8	701
12	9	696
13	9	691
14	10	687
15	11	681
16	11	685
17	12	681
18	13	678
19	13	676
20	14	675
21	15	672
22	15	668
23	16	666
24	17	664
25	17	662
26	18	662
27	19	662
28	19	661
29	20	661
30	21	662
31	21	661
32	22	658
33	23	657
34	23	657
35	24	658
36	25	659
37	26	660
38	26	659
39	27	656
40	28	655
41	28	654
42	29	653
43	30	652
44	30	651
45	31	651
46	32	651
47	32	650
48	33	649
49	34	648
50	34	647
51	35	646
52	36	645
53	36	647
54	37	648
55	38	647
56	39	646
57	39	645
58	40	644
59	41	643
60	41	643
61	42	644
62	43	646
63	44	653
64	45	655
65	46	654
66	47	655
67	47	655
68	48	655
69	49	664
70	51	667
71	51	666
72	52	665
73	53	664
74	53	663
75	54	663
76	56	673
77	57	673
78	57	673
79	58	671
80	59	669
81	59	668
82	60	663
83	60	662
84	62	675
85	63	673
86	64	672
87	64	671
88	65	669
89	66	668
90	66	667
91	68	675
92	69	675
93	69	674
94	70	672
95	71	671
96	75	707
97	76	705
98	77	703
99	77	700
100	78	698
101	79	697
102	80	697
103	81	703
104	82	700
105	82	697
106	83	695
107	83	692
108	84	690
109	85	688
110	86	689
111	87	694
112	88	692
113	88	689
114	89	686
115	89	684
116	90	681
117	90	680
118	91	679
119	93	683
120	93	682
121	94	678
122	94	676
123	95	674
124	95	671
125	96	669
126	97	667
127	97	666
128	99	671
129	100	669
130	100	668
131	101	668
132	102	666
133	103	665
134	103	665
135	105	670
136	106	669
137	106	666
138	107	664
139	107	662
140	108	660
141	108	657
142	109	656
143	110	658
144	111	659
145	112	657
146	112	655
147	113	653
148	113	651
149	114	649
150	115	648
151	116	650
152	118	653
153	118	652
154	119	650
155	120	649
156	120	649
157	121	649
158	123	651
159	123	650
160	124	647
161	124	646
162	125	644
163	126	642
164	127	645
165	128	646
166	130	651
167	131	649
168	131	648
169	132	646
170	133	645
171	133	644
172	134	645
173	135	645
174	136	644
175	137	642
176	137	640
177	138	638
178	139	637
179	139	636
180	141	639
181	142	639
182	142	637
183	143	635
184	143	634
185	144	632
186	145	631
187	146	632
188	147	634
189	148	633
190	149	631
191	149	629
192	150	628
193	150	626
194	151	625
195	152	624
196	154	627
197	154	626
198	155	624
199	155	622
